1,Gammalt yxhuvud,,23,
2,Gammalt yxhuvud,,23,
3,Okänd,,2,
4,Kent,,23,
5,Okänd,,4,
6,Bila,Svartmålad,4,unnamed(2).jpg
7,61.2,,4,
8,KB43,,14,
9,Bila,,4,
10,Hjärtumyxa,,11,
11,,"Marcus Lepola, flera",23,
12,Finsk bila,,23,
13,13,,4,
14,Hjärtumyxa,,11,
15,Liten,,8,
16,,,22,
17,7,,4,
18,Nordlöw,,23,
19,"Made in Sweden, liten",,2,
20,Hjärtumyxa,Oanvänd,11,
21,"Bila, Made in Sweden",,23,
22,Liten bila,,23,
23,Bila,,16,
24,Billnäs 14.1,,4,
25,Billnäs 5,,4,
26,Billnäs 11,,4,
27,Stor,,1,
28,Keesteel,,24,
29,"Yankee, EX-modell",,3,
30,Äldre,,1,
31,Liten vikingyxa,,25,
32,Sydamerikansk modell,Raspat skaft,26,
33,Hjärtumyxa,,10,
34,Säter Banko,Säter Banko,9,
35,61.?,,4,
36,K-24,,13,
37,15/1,,5,
38,61.2,,4,
39,61.1,,4,
40,15/2,,5,
41,O.A Döbeln EL-YXAN,,14,
42,Nordlöw,,23,
43,Fällbar yxa,,23,43a.jpg;43b.jpg
44,Gammal bondeyxa från Härjedalen,,23,
45,Skaftholk EX-modell,Oanvänd,3,
46,Yankee EX-modell,Oanvänd,3,
47,61.1,,4,
48,Small carver,No 24,15,
49,Norsk,,28,
50,Tjäckelyxa,,23,
51,Kromad jubileumsyxa 1997,,1,
52,Handyxa Nr 11 RTB,,16,
53,Yxhuvud 7st Kölefors/Swede,,14,
54,Yxhuvud 7st Kölefors/Swede,,14,
55,Yxhuvud 7st Kölefors/Swede,,14,
56,Yxhuvud 7st Kölefors/Swede,,14,
57,Yxhuvud 7st Kölefors/Swede,,14,
58,Yxhuvud 7st Kölefors/Swede,,14,
59,Forester,,1,
60,"""Liten fin gammal yxa""",,23,
61,Timmerbila FB,,23,
62,Tvåflikad skäggyxa,,42,
63,Slöjdyxa WN,,23,
64,Fällyxa,,6,
65,Tvåflikad huggyxa,,31,
66,7,,5,
67,Fort Meigs Bältyxa,Townsends,23,
68,Holmens bruk - kromad jubileumsyxa,,1,
69,Handyxa No 2,,16,
70,Agdor 4lbs,,1,
71,Snickaryxa,,17,
72,Bila 1700-talsmodell,,23,
73,Snickarbila,,2,
74,Work axe,,27,
75,Bila,,4,
76,Flint Edge,,32,
77,Skarvyxa,,34,
78,Timmerbila,,17,
79,Norsk modell?,,2,
80,"Klyvyxa, sidovinge",Lennart Pettersson,44,81a.jpg;81b.jpg
81,Tomahawk,,42,
82,Timmerbila (1900-modell),,9,
83,Champion,,33,
84,Vikingayxa,,42,85a.jpg;85b.jpg
85,"4st Finska yxor, Marcus Lepola",,23,
86,"4st Finska yxor, Marcus Lepola",,23,
87,"4st Finska yxor, Marcus Lepola",,23,
88,"4st Finska yxor, Marcus Lepola",,23,
89,Timmerbila,"1884-1900, Spjutspetsprofil",1,
90,"Huggyxa, Norrbottensmodell 1884-1900",1884-1900,1,91a.jpg
91,"Skånebila, Höger",GWE,23,
92,"Skånebila, Höger",,9,
93,"Skånebila, Vänster",,23,
94,Timmerbila E S,,23,
95,"Timmerbila, Kronyxa",,35,
96,Spånläggarnsnickaryxa,,23,
97,Sparrbila,"1884-1900, Väldigt stor",1,
98,Sparrbila,1884-1900,1,
99,Täljbila,1884-1900,1,
100,Timmerbila,,23,
101,Timmerbila,,23,
102,Timmerbila,,23,
103,Handyxa No 13,,16,
104,Timmerbila,,23,
